id,name,link,regular_price,promo_price,brand
514689,"Конфеты Рот Фронт Коровка, Огни Москвы, Замоскворечье, 700г",https://online.metro-cc.ru/products/rotfront-miks-korovka-ogni-moskvy-zamoskvorechye-700g,649,,РОТ ФРОНТ
514810,"Шоколад Kinder Maxi молочный с молочной начинкой, 84г",https://online.metro-cc.ru/products/molochnyj-kinder-reg-chocolate-maxi-s-molochnoj-nachinkoj-84g,134,,KINDER MAXI
496203,"Батончик Kinder Bueno вафельный в молочном шоколаде, 43г",https://online.metro-cc.ru/products/vafli-kinder-bueno-v-molochnom-43g,91.90,,KINDER BUENO
51777,"Суфле Casali Schoko-Mangos, 150г",https://online.metro-cc.ru/products/sufle-casali-mango-shokolad-150-g,209,199,CASALI
426018,"Конфеты Рот Фронт Коровка молочные вафельные, 250г",https://online.metro-cc.ru/products/rotfront-vafelnye-korovka-250g,185,,РОТ ФРОНТ
220612,"Конфеты Славянка Фрутландия со вкусом манго, 1кг",https://online.metro-cc.ru/products/1kg-konfety-frutlandiya-slavyanka-so-vkusom-mango,339,,СЛАВЯНКА
121009,"Ирис Красный Октябрь Кис-Кис, 250г",https://online.metro-cc.ru/products/250g-krasnyj-oktyabr-iris-kis-kis,172,89.90,КРАСНЫЙ ОКТЯБРЬ
220615,"Конфеты Славянка Золотой степ, 1кг",https://online.metro-cc.ru/products/1kg-konfety-zolotoy-step-slavyanka,479,,СЛАВЯНКА
23022,"Конфеты Merci шоколадные ассорти, 400г",https://online.metro-cc.ru/products/merci-shokoladnye-assorti-400g,1 019,,MERCI
113102,"Шоколадные конфеты Ferrero Rocher пенал, 75г",https://online.metro-cc.ru/products/shokoladnye-konfety-ferrero-rocher-penal-75g,284,,FERRERO ROCHER
469547,"Конфеты Skittles 2в1 жевательные, 38г",https://online.metro-cc.ru/products/zhevatelnye-skittles-2-v-1-38g,40.49,34.90,SKITTLES
90192,"Конфеты Красный Октябрь Петушок золотой гребешок, 250г",https://online.metro-cc.ru/products/krasnyj-oktyabr-petushok-250g,319,199,КРАСНЫЙ ОКТЯБРЬ
86410,"Конфеты Кремлина шоколадные ассорти цукаты, 1кг",https://online.metro-cc.ru/products/shokoladnye-kremlina-cukaty-assorti-1kg,829,689,КРЕМЛИНА
121008,"Конфеты Красный Октябрь Toffee de luxe Классик, 250г",https://online.metro-cc.ru/products/250g-krasnyj-oktyabr-toffee-de-luxe,156,109,КРАСНЫЙ ОКТЯБРЬ
401806,"Шоколадное яйцо Kinder Surprise Классический 3шт, 60г",https://online.metro-cc.ru/products/yajca-kinder-surprise-3x20g,293,,KINDER SURPRISE
26451,"Конфеты Guylian Морские ракушки, 250г",https://online.metro-cc.ru/products/shokoladnye-guylian-250g,859,,GUYLIAN
463188,"Карамель Chupa Chups Mini ассорти вкусов, 90г",https://online.metro-cc.ru/products/ledency-chupa-chups-mini-15h6g,82.90,,CHUPA CHUPS
242062,"Вафли Kinder Cards, 128г",https://online.metro-cc.ru/products/vafli-kinder-cards-128g,519,,KINDER
406429,"Конфеты Красный Октябрь Маска, 250г",https://online.metro-cc.ru/products/250g-maska,246,,КРАСНЫЙ ОКТЯБРЬ
608178,"Мармелад Chupa Chups Мини трубочки жевательный с фруктовым вкусом, 150г",https://online.metro-cc.ru/products/marmelad-chupa-chups-mini-trubochki-s-fruktovym-vkusom-150g,169,,CHUPA CHUPS
470006,"Конфеты Ferrero Rocher молочные из крема и лесного ореха, 125г",https://online.metro-cc.ru/products/hrustyaschie-ferrero-rocher-iz-molochnogo-shokolada-pokrytye-izmelchennymi-oreshkami-s-nachinkoj-iz-krema-lesnogo-oreha-125g,429,,FERRERO
230372,"Десерт Акконд Добрянка мини фундук, 500г",https://online.metro-cc.ru/products/desert-akkond-dobryanka-mini-funduk-500g,309,,АККОНД
526438,"Ягоды Фруже фружеле в шоколаде, 380г",https://online.metro-cc.ru/products/fruzhe-yagody-fruzhele-v-shokolade-380g,339,269,ФРУЖЕ
133008,"Трюфель Подари классический, 160г",https://online.metro-cc.ru/products/tryufel-podari-klassicheskiy-160g,419,299,ПОДАРИ
356483,"Конфеты Вдохновение шоколадные с миндалем, 150г",https://online.metro-cc.ru/products/vdohnovenie-shokoladnye-s-mindalem-150g,274,239,ВДОХНОВЕНИЕ
